WO = 545620

Sum_WSn = 452

Zp = 0

Zn = 213.8

_solve_time = 16544.2

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -4520021325\
15679374 MIP simplex iterations\
18043 branch-and-bound nodes\
absmipgap = 6.05898, relmipgap = 1.34048e-09'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
36   0   0   0   0   1   0   0   0   0   0
37   0   0   0   0   1   0   0   0   0   0
38   0   0   0   0   1   0   0   0   0   0
39   0   0   0   0   1   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   0   0   1   0   0   0
42   0   0   0   0   0   0   1   0   0   0
43   0   0   0   0   0   0   1   0   0   0
44   0   0   0   0   0   0   1   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   1   0   0   0   0   0   0   0
3    0   0   1   0   0   0   0   0   0   0
4    0   0   1   0   0   0   0   0   0   0
5    0   0   1   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   1   0   0   0   0   0
8    0   0   0   0   1   0   0   0   0   0
9    0   0   0   0   1   0   0   0   0   0
10   0   0   0   0   1   0   0   0   0   0
11   0   0   0   0   0   0   1   0   0   0
12   0   0   0   0   0   0   1   0   0   0
13   0   0   0   0   0   1   1   0   0   0
14   0   0   0   0   0   1   1   0   0   0
15   0   0   0   0   0   1   0   0   0   0
16   0   0   0   0   0   1   0   0   0   0
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   1   0   0   0
20   0   0   0   0   0   0   1   0   0   0
21   0   0   0   0   0   0   1   0   0   0
22   0   0   0   0   0   0   1   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   1   0   0   0   0   0   0   0
25   0   0   1   0   0   0   0   0   0   0
26   0   0   1   0   0   0   0   0   0   0
27   0   0   1   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   1   0   0   0   0   1   1   0   0   0
31   1   0   0   0   0   1   1   0   0   0
32   1   0   0   0   0   1   1   0   0   0
33   1   0   0   0   0   1   1   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   0   0   0   0   1   1   0
37   0   0   0   0   0   0   0   1   1   0
38   0   0   0   0   0   0   0   1   1   0
39   0   0   0   0   0   0   0   1   1   0
40   0   0   0   0   0   0   0   1   1   0
41   0   0   0   0   0   0   0   1   1   0
42   0   0   0   0   0   0   0   1   0   0
43   0   0   0   0   0   0   0   1   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:          F1            F2            F3           :=
1     2126.92           344.92     533.92
2     5672.69           425.69     938.69
3     5672.69           425.69     938.69
4     5672.69           425.69     938.69
5     5672.69           452.69     938.69
6     1487.69           983.69     554.69
7     1182.69           425.69    2132.69
8     5142.69           425.69    2132.69
9     5142.69           983.69    2132.69
10    5142.69           452.69    3056.69
11    5142.69           425.69    3986.69
12    5142.69           425.69    6026.69
13    5142.69           452.69   10436.7
14    1182.69           983.69   10436.7
15     401.69           425.69    7181.69
16    3515.69           425.69    6257.69
17    3515.69           983.69    1847.69
18    3515.69           452.69      71.69
19    3989.2            899.2     3800.2
20    3215.2            899.2     3800.2
21    6146.2            926.2     3800.2
22    6146.2           1457.2     3800.2
23    6146.2            899.2     1292.2
24    6146.2            899.2     1412.2
25    2501.2            836.2     1322.2
