_nvars = 5942

_snvars = 4882

_ncons = 23799

_sncons = 17774

_nobjs = 1

solve_result = solved

WO = 0

Sum_WSn_PR = 255.46

Sum_WSn_PR_LEX2 = 0

Sum_WSn = 255.46

Zp = 0

Zn = 0

Z_LEX3p = 0

Z_LEX3n = 0

_solve_elapsed_time = 476.128

solve_message = 'CPLEX 22.1.1.0: optimal integer solution; objective -255.46\
7162809 MIP simplex iterations\
9582 branch-and-bound nodes'

_solve_time = 1885.73

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
21   0   0   0   0   1   0   1   0   0   0
22   0   0   0   0   0   0   1   0   0   0
23   0   0   0   0   0   0   1   0   0   0
24   0   0   0   0   0   0   1   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   1   0   0   0   0   0
27   0   0   0   0   1   0   0   0   0   0
28   0   0   0   0   1   0   0   0   0   0
29   0   0   0   0   1   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   1   0   0   0
32   0   0   0   0   0   0   1   0   0   0
33   0   0   0   0   0   0   1   0   0   0
34   0   0   0   0   0   0   1   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   1   0   0   0   0   0   0   0
37   0   0   1   0   0   0   0   0   0   0
38   0   0   1   0   0   0   0   0   0   0
39   0   0   1   0   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   1   0   0   0   0   0   0   0   0   0
42   1   0   0   0   0   0   0   0   0   0
43   1   0   0   0   0   0   0   0   0   0
44   1   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:       F1        F2        F3       :=
1      681.82   1169.91    127.91
2     2538.26   4404.63    754.63
3     2538.26   4404.63    754.63
4     2538.26   4404.63    754.63
5     2868.26   4404.63    853.63
6     2436.26   5284.63   1087.63
7     1344.26   9629.63    754.63
8     1344.26   9629.63    754.63
9     1344.26   9629.63   1087.63
10    1029.26   9629.63    853.63
11    5469.26   9629.63    754.63
12    6270.26   6549.63   1531.63
13    7260.26   5284.63   4429.63
