_nvars = 5942

_snvars = 5672

_ncons = 24003

_sncons = 21539

_nobjs = 1

solve_result = limit

WO = 0

Sum_WSn_PR = 253.47

Sum_WSn_PR_LEX2 = 0

Sum_WSn = 253.47

Zp = 0

Zn = 0

Z_LEX3p = 0

Z_LEX3n = 0

_solve_elapsed_time = 7200.07

solve_message =
'CPLEX 22.1.1.0: time limit with integer solution; objective -253.47\
121959026 MIP simplex iterations\
178612 branch-and-bound nodes\
absmipgap = 154.481, relmipgap = 0.609466'

_solve_time = 28724.1

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   0   0   1   0   0
19   0   0   0   0   0   0   0   0   0   0
20   0   0   0   0   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   0   0   0   1   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   1
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

e [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   1   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   1   0   0   1   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   1   0   0   1   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0   0   0   0
14   0   0   0   0   0   0   1   0   0   0
15   0   0   0   1   0   0   0   0   0   0
16   1   0   0   0   0   0   0   0   0   0
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   1   0   0   0
20   0   0   1   1   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   1   0   0   1   0   0   0   0
26   0   0   0   0   0   0   0   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   1   0   0   1   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   1   0   0   1   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   1   0   0   0   0   1   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   1   0   0   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   1   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   1   0   0   1   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   1   0   0   1   0   0   0   0
12   0   0   0   0   1   0   0   0   0   0
13   0   0   0   0   0   0   0   0   0   0
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   1   0   0   0   0   0   0   0
17   0   0   0   0   1   1   0   0   0   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   0   0   0   0
20   1   0   0   0   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   1   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   1   0   0   0   0   0
25   1   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   0   1   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   1   0   0   0   0   0
30   1   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   1   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   1   0   0   1   0   0   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   1   1   0   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   1   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   1   0   0   0   0   0   1   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   0   0   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   1   0   0   0   0   0   1   0   0
12   0   0   0   0   0   0   0   0   1   0
13   0   0   0   0   0   0   0   0   0   0
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   0   0   0   0   0   0   0
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   0   0   0   0   0
19   0   0   0   0   0   0   0   1   1   0
20   0   0   0   0   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   0   0   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   0   1   1   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   1
35   0   0   0   0   0   0   0   0   1   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   1
;

x [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   0   1   0   0   0
3    0   0   0   0   0   0   1   0   0   0
4    0   0   0   0   0   0   1   0   0   0
5    0   0   0   0   0   0   1   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   1   0   0   0   0   0   0
8    0   0   0   1   0   0   0   0   0   0
9    0   0   0   1   0   0   0   0   0   0
10   0   0   0   1   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   1   0   0   0   0   0   0   0   0   0
13   1   0   0   0   0   0   0   0   0   0
14   1   0   0   0   0   0   0   0   0   0
15   1   0   0   0   0   0   1   0   0   0
16   0   0   0   1   0   0   1   0   0   0
17   0   0   0   1   0   0   1   0   0   0
18   0   0   0   1   0   0   1   0   0   0
19   0   0   0   1   0   0   0   0   0   0
20   0   0   0   0   0   0   0   0   0   0
21   0   0   1   0   0   0   0   0   0   0
22   0   0   1   0   0   0   0   0   0   0
23   0   0   1   0   0   0   0   0   0   0
24   0   0   1   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   1   0   0   0   0
27   0   0   0   0   0   1   0   0   0   0
28   0   0   0   0   0   1   0   0   0   0
29   0   0   0   0   0   1   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   1   0   0   0   0   0   0   0
32   0   0   1   0   0   0   0   0   0   0
33   0   0   1   0   0   0   0   0   0   0
34   0   0   1   0   0   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   0   0   1   0   0   0   0
37   0   0   0   0   0   1   0   0   0   0
38   0   0   0   0   0   1   0   0   0   0
39   0   0   0   0   0   1   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   1   0   0   0   0   0   0   0   0   0
42   1   0   0   0   0   0   0   0   0   0
43   1   0   0   0   0   0   0   0   0   0
44   1   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   1   0   0   0   0   0   0   0
3    0   0   1   0   0   0   0   0   0   0
4    0   0   1   0   0   0   0   0   0   0
5    0   0   1   0   0   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   1   0   0   0   0
8    0   0   0   0   0   1   0   0   0   0
9    0   0   0   0   0   1   0   0   0   0
10   0   0   0   0   0   1   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   1   0   0   0   0   0   0   0
13   0   0   1   0   1   0   0   0   0   0
14   0   0   1   0   1   0   0   0   0   0
15   0   0   1   0   1   0   0   0   0   0
16   0   0   0   0   1   0   0   0   0   0
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   1   0   0   0   0
19   0   0   0   0   0   1   0   0   0   0
20   0   0   0   0   0   1   0   0   0   0
21   1   0   0   0   0   1   0   0   0   0
22   1   0   0   0   0   0   0   0   0   0
23   1   0   0   0   0   0   0   0   0   0
24   1   0   0   0   0   0   0   0   0   0
25   0   0   0   0   1   0   0   0   0   0
26   0   0   0   0   1   0   0   0   0   0
27   0   0   0   0   1   0   1   0   0   0
28   0   0   0   0   1   0   1   0   0   0
29   0   0   0   0   0   0   1   0   0   0
30   0   0   0   0   0   0   1   0   0   0
31   1   0   0   0   0   0   0   0   0   0
32   1   0   0   0   0   0   0   0   0   0
33   1   0   0   0   0   0   0   0   0   0
34   1   0   0   0   0   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   1   0   0   0   0   0   0
37   0   0   0   1   0   0   0   0   0   0
38   0   0   0   1   0   0   0   0   0   0
39   0   0   0   1   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   1   0   0   0   0   0
42   0   0   0   0   1   0   0   0   0   0
43   0   0   0   0   1   0   0   0   0   0
44   0   0   0   0   1   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   1   0   0   0   0   0   1   0   0
4    0   1   0   0   0   0   0   1   0   0
5    0   1   0   0   0   0   0   1   0   0
6    0   1   0   0   0   0   0   1   0   0
7    0   1   0   0   0   0   0   1   0   0
8    0   1   0   0   0   0   0   1   0   0
9    0   1   0   0   0   0   0   1   0   0
10   0   1   0   0   0   0   0   1   0   0
11   0   0   0   0   0   0   0   0   0   0
12   0   0   0   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0   0   1   0
14   0   0   0   0   0   0   0   0   1   0
15   0   0   0   0   0   0   0   0   1   0
16   0   0   0   0   0   0   0   0   1   0
17   0   0   0   0   0   0   0   0   1   0
18   0   0   0   0   0   0   0   0   1   0
19   0   0   0   0   0   0   0   0   0   0
20   0   0   0   0   0   0   0   1   0   0
21   0   0   0   0   0   0   0   1   0   0
22   0   0   0   0   0   0   0   1   0   0
23   0   0   0   0   0   0   0   1   0   0
24   0   0   0   0   0   0   0   1   0   0
25   0   0   0   0   0   0   0   1   0   0
26   0   0   0   0   0   0   0   1   0   0
27   0   0   0   0   0   0   0   1   0   0
28   0   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   1   0
30   0   0   0   0   0   0   0   0   1   0
31   0   0   0   0   0   0   0   0   1   0
32   0   0   0   0   0   0   0   0   1   0
33   0   0   0   0   0   0   0   0   1   0
34   0   0   0   0   0   0   0   0   1   0
35   0   0   0   0   0   0   0   0   0   1
36   0   0   0   0   0   0   0   0   0   1
37   0   0   0   0   0   0   0   0   0   1
38   0   0   0   0   0   0   0   0   0   1
39   0   0   0   0   0   0   0   0   0   1
40   0   0   0   0   0   0   0   0   0   1
41   0   0   0   0   0   0   0   0   0   1
42   0   0   0   0   0   0   0   0   0   1
43   0   0   0   0   0   0   0   0   0   1
44   0   0   0   0   0   0   0   0   0   1
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:      F1        F2         F3       :=
1     208.53    169.53       0
2    2115.12    336.12      86.12
3    2115.12    336.12   11196.1
4    2115.12    336.12   11196.1
5    2115.12    336.12   11196.1
6     105.12   1389.12   11196.1
7     327.12   4386.12   11196.1
8     327.12   4386.12   11196.1
9     327.12   4386.12   11196.1
10    327.12   4386.12   11196.1
11    363.12   1389.12      86.12
12    327.12    921.12     471.12
13    327.12   2586.12    5091.12
14    789.12   2586.12    5091.12
15   4113.12   2586.12    5091.12
16   4176.12   1659.12    5091.12
17   3456.12   1551.12    5091.12
18   3456.12   4386.12    5091.12
19    789.12   4386.12     801.12
20      3.12   5025.12    5091.12
21    327.12   5736.12    5091.12
