WO = 608602

Sum_WSn = 0

Zp = 211.88

Zn = 0

_solve_time = 34949.4

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective 21248.8602\
52988572 MIP simplex iterations\
48309 branch-and-bound nodes\
absmipgap = 2.12488, relmipgap = 9.99999e-05'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
21   0   1   0   0   0   0   0   0   0   0
22   0   1   0   0   0   0   0   0   0   1
23   0   1   0   0   0   0   0   0   0   1
24   0   1   0   0   0   0   0   0   0   1
25   0   0   0   0   0   0   0   0   0   1
26   0   0   0   0   0   0   0   0   0   1
27   0   0   0   0   0   0   0   0   0   1
28   0   0   0   0   0   0   0   0   0   1
29   0   0   0   0   0   0   0   0   0   1
30   0   0   0   0   0   0   0   0   0   1
31   0   0   0   0   0   0   0   1   0   1
32   0   0   0   0   0   0   0   1   0   0
33   0   0   0   0   0   0   0   1   0   0
34   0   0   0   0   0   0   0   1   0   0
35   0   0   0   0   0   0   0   1   0   0
36   0   0   0   0   0   0   0   1   0   0
37   0   0   0   0   0   0   0   1   0   0
38   0   0   0   0   0   0   0   1   0   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   0   0   1   0   0   0
42   0   0   0   0   0   0   1   0   0   0
43   0   0   0   0   0   0   1   0   0   0
44   0   0   0   0   0   0   1   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   1   0   0   0   0   0
3    0   0   0   0   1   0   0   0   0   0
4    0   0   0   0   1   0   0   0   0   0
5    0   0   0   0   1   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   1   0   0   0   0   0   0   0
8    0   0   1   0   0   0   0   0   0   0
9    0   0   1   0   0   0   0   0   0   0
10   0   0   1   0   1   0   0   0   0   0
11   0   0   0   0   1   1   1   0   0   0
12   0   0   0   0   1   1   1   0   0   0
13   1   0   0   1   1   1   1   0   0   0
14   1   0   0   1   0   1   1   0   0   0
15   1   0   1   1   0   0   0   0   0   0
16   1   0   1   1   0   0   0   0   0   0
17   0   0   1   0   0   0   0   0   0   0
18   0   0   1   0   1   0   0   0   0   0
19   0   0   0   0   1   1   1   0   0   0
20   0   0   0   0   1   1   1   0   0   0
21   0   0   0   0   1   1   1   0   0   0
22   0   0   0   0   0   1   1   0   0   0
23   0   0   1   0   0   0   0   0   0   0
24   0   0   1   0   0   0   0   0   0   0
25   0   0   1   0   0   0   0   0   0   0
26   0   0   1   0   0   0   0   0   0   0
27   0   0   0   0   0   1   1   0   0   0
28   0   0   0   0   0   1   1   0   0   0
29   0   0   0   0   0   1   1   0   0   0
30   0   0   0   0   0   1   1   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   1   0
34   0   0   0   0   0   0   0   0   1   0
35   0   0   0   0   0   0   0   0   1   0
36   0   0   0   0   0   0   0   0   1   0
37   0   0   0   0   0   0   0   0   1   0
38   0   0   0   0   0   0   0   0   1   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   1   0   0   0   0   0   0   0   0   0
42   1   0   0   0   0   0   0   0   0   0
43   1   0   0   0   0   0   0   0   0   0
44   1   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:      F1        F2         F3       :=
1     211.88   1865.94     770.94
2    3982.51   4943.75    2318.75
3    3982.51   4943.75    2318.75
4    3982.51   4943.75    2318.75
5    3982.51   4943.75    2318.75
6    3982.51   1523.75     995.75
7    3982.51    258.75    1208.75
8    3982.51   4493.75    1208.75
9    3982.51   4493.75    2093.75
10   3982.51   4493.75    7142.75
11   3982.51   4493.75   13430.8
12    682.51   4493.75   14528.8
13   3982.51   4493.75   16193.8
14   3982.51   4493.75   14870.8
15   3982.51   4493.75    7697.75
16   3982.51    753.75    4538.75
17   3982.51   4493.75    3758.75
18   3982.51   4493.75    7142.75
19    242.51   4493.75   13430.8
20    464.51   4493.75   12863.8
21   1769.51   4548.75   12863.7
22   1769.51   9443.75   11540.8
23   1769.51   9443.75    4367.75
