WO = 583729

Sum_WSn = 316.16

Zp = 0

Zn = 174.1

_solve_time = 19700.6

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -3161617352\
24622593 MIP simplex iterations\
19210 branch-and-bound nodes\
absmipgap = 77660.7, relmipgap = 2.45636e-05'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
38   0   0   0   0   0   0   0   1   0   0
39   0   0   0   0   0   0   0   1   0   0
40   0   0   0   0   0   0   0   1   0   0
41   0   0   0   0   0   0   0   1   0   0
42   0   0   0   0   0   0   0   1   0   0
43   0   0   0   0   0   0   0   1   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:      F1        F2         F3       :=
1    2020.38    395.19     659.19
2    5246.54   1490.77    1151.77
3    5246.54   1490.77    1898.77
4    5246.54   1490.77    2942.77
5    5246.54   1517.77    2942.77
6    1061.54   1193.77    1970.77
7     756.54    638.77    1151.77
8    4716.54    638.77     107.77
9    4716.54   1196.77      20.77
10   4716.54    665.77    2345.77
11   4716.54    638.77    5969.77
