WO = 697226

Sum_WSn = 0

Zp = 57.01

Zn = 0

_solve_time = 4110.81

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective 5770.7226\
5763984 MIP simplex iterations\
4679 branch-and-bound nodes\
absmipgap = 0.515501, relmipgap = 8.93304e-05'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   1   0   0   0   0   0   0   0
2    0   0   0   0   0   0   0   0   0   0
3    0   0   0   0   0   0   0   0   0   0
4    0   0   0   0   0   0   0   0   0   0
5    0   0   0   1   0   0   0   0   0   0
6    0   0   1   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   0
9    0   0   1   0   1   1   0   0   0   0
10   0   0   0   1   0   0   0   0   0   0
11   0   0   0   0   0   0   0   0   0   0
12   1   0   0   0   0   0   0   0   0   0
13   0   0   0   0   0   0   0   0   0   0
14   0   0   1   0   1   1   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   0   0   0   0   0   0   0
17   1   0   0   0   0   1   0   0   0   0
18   0   0   0   0   1   0   0   0   0   0
19   0   0   0   0   0   0   0   0   0   0
20   0   0   0   0   0   0   0   0   0   0
21   0   0   0   0   0   0   0   0   0   0
22   0   0   0   0   0   1   0   0   0   0
23   0   0   0   0   1   0   1   0   0   0
24   1   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   0   0   0   0   0
27   0   0   0   0   0   0   0   0   0   0
28   0   0   0   0   0   0   1   0   0   0
29   1   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   1   0
31   0   0   0   0   0   0   0   0   0   1
32   0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   0   0   0   0   0   0   0
37   0   0   0   0   0   0   0   0   0   0
38   0   0   0   0   0   0   0   0   0   1
39   0   0   0   0   0   0   0   0   1   0
40   0   0   0   0   0   0   1   0   0   0
41   0   0   0   0   0   0   0   0   0   0
42   0   0   0   0   0   0   0   0   0   0
43   0   0   0   0   0   0   0   0   0   0
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   1   0   0   0
;

x [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   1   0   0   0   0   0
3    0   0   0   0   1   0   0   0   0   0
4    0   0   0   0   1   0   0   0   0   0
5    0   0   0   0   1   0   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   0   1
9    0   0   0   0   0   0   0   0   0   1
10   0   0   0   0   0   0   0   0   0   1
11   0   0   0   0   0   0   0   0   0   1
12   0   0   0   0   0   0   0   0   0   1
13   0   0   0   0   0   0   0   0   0   1
14   0   0   0   0   0   0   0   0   0   0
15   0   0   0   0   0   0   0   0   0   0
16   0   0   0   1   0   0   1   0   0   0
17   0   0   0   1   0   0   1   0   0   0
18   0   0   0   1   0   0   1   0   0   0
19   0   0   0   1   0   0   1   0   0   0
20   0   0   1   0   0   0   0   0   0   0
21   0   0   1   0   0   0   0   0   0   0
22   0   0   1   0   0   0   0   0   0   0
23   0   0   1   0   0   0   0   0   0   0
24   0   0   0   1   0   0   0   0   0   0
25   0   0   0   1   0   0   0   0   0   0
26   0   0   0   1   0   0   0   0   0   0
27   0   0   0   1   0   0   0   0   0   0
28   0   0   1   0   0   0   0   0   0   0
29   0   0   1   0   0   0   0   0   0   0
30   0   0   1   0   0   0   0   0   0   0
31   0   0   1   0   0   0   0   0   0   0
32   0   0   0   0   0   0   0   0   0   0
33   1   0   0   0   0   0   1   0   0   0
34   1   0   0   0   0   0   1   0   0   0
35   1   0   0   0   0   0   1   0   0   0
36   1   0   0   1   0   0   1   0   0   0
37   0   0   0   1   0   0   0   0   0   0
38   0   0   0   1   0   0   0   0   0   0
39   0   0   0   1   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   1   0   0   0   0   0   0   0   0   0
42   1   0   0   0   0   0   0   0   0   0
43   1   0   0   0   0   0   0   0   0   0
44   1   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F2]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   0   0   0   1   0   0   0   0
3    0   0   0   0   0   1   0   0   0   0
4    0   0   0   0   0   1   0   0   0   0
5    0   0   0   0   0   1   0   0   0   0
6    0   0   0   0   0   0   0   0   0   0
7    0   0   0   0   0   0   0   0   0   0
8    0   0   0   0   0   0   0   0   1   0
9    0   0   0   0   0   0   0   0   1   0
10   0   0   0   0   0   0   0   0   1   0
11   0   0   0   0   0   0   0   0   1   0
12   0   0   0   0   0   0   0   0   1   0
13   0   0   0   0   0   0   0   0   1   0
14   0   1   0   0   0   0   0   0   1   0
15   0   1   0   0   0   0   0   0   1   0
16   0   1   0   0   0   0   0   0   0   0
17   0   1   0   0   0   0   0   0   0   0
18   0   1   0   0   0   0   0   1   0   0
19   0   1   0   0   0   0   0   1   0   0
20   0   1   0   0   0   0   0   1   0   0
21   0   1   0   0   0   0   0   1   0   0
22   0   1   0   0   0   0   0   1   0   0
23   0   1   0   0   0   0   0   1   0   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   1   0   0   0   0
27   0   0   0   0   0   1   0   0   0   0
28   0   0   0   0   0   1   0   0   0   0
29   0   0   0   0   1   1   0   0   0   0
30   0   0   0   0   1   0   0   0   0   0
31   0   0   0   0   1   0   0   0   0   0
32   0   0   0   0   1   0   0   0   0   0
33   0   0   0   0   0   0   0   0   0   0
34   0   0   0   0   0   0   0   0   0   0
35   0   1   0   0   0   0   0   0   0   0
36   0   1   0   0   0   0   0   0   0   0
37   0   1   0   0   0   0   0   1   0   0
38   0   1   0   0   0   0   0   1   0   0
39   0   1   0   0   0   0   0   1   0   0
40   0   1   0   0   0   0   0   1   0   0
41   0   1   0   0   0   0   0   1   0   0
42   0   1   0   0   0   0   0   1   0   0
43   0   1   0   0   0   0   0   0   0   0
44   0   1   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0

 [*,*,F3]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
1    0   0   0   0   0   0   0   0   0   0
2    0   0   1   0   0   0   0   0   0   0
3    0   0   1   0   0   0   0   0   0   0
4    0   0   1   0   0   0   0   0   0   0
5    0   0   1   0   0   0   0   0   0   0
6    0   0   0   1   0   0   0   0   0   0
7    0   0   0   1   0   0   0   0   0   0
8    0   0   0   1   0   0   0   0   0   0
9    0   0   0   1   0   0   0   0   0   0
10   0   0   1   0   1   1   0   0   0   0
11   0   0   1   0   1   1   0   0   0   0
12   0   0   1   0   1   1   0   0   0   0
13   1   0   1   0   1   1   0   0   0   0
14   1   0   0   0   0   0   0   0   0   0
15   1   0   0   0   0   0   0   0   0   0
16   1   0   0   0   0   0   0   0   0   0
17   0   0   0   0   0   0   0   0   0   0
18   0   0   0   0   0   1   0   0   0   0
19   0   0   0   0   1   1   0   0   0   0
20   0   0   0   0   1   1   0   0   0   0
21   0   0   0   0   1   1   0   0   0   0
22   0   0   0   0   1   0   0   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   1   0   0   0
25   1   0   0   0   0   0   1   0   0   0
26   1   0   0   0   0   0   1   0   0   0
27   1   0   0   0   0   0   1   0   0   0
28   1   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   1   0
32   0   0   0   0   0   0   0   0   1   1
33   0   0   0   0   0   0   0   0   1   1
34   0   0   0   0   0   0   0   0   1   1
35   0   0   0   0   0   0   0   0   1   1
36   0   0   0   0   0   0   0   0   1   1
37   0   0   0   0   0   0   0   0   1   1
38   0   0   0   0   0   0   0   0   1   0
39   0   0   0   0   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   0   0   1   0   0   0
42   0   0   0   0   0   0   1   0   0   0
43   0   0   0   0   0   0   1   0   0   0
44   0   0   0   0   0   0   1   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:      F1         F2         F3       :=
1     948.01     813.01      57.01
2    1952.43    5852.43     992.43
3    1952.43    5852.43     992.43
4    1952.43    5852.43     992.43
5    1952.43    5852.43    1046.43
6     452.43     317.43    1226.43
7    1362.43     922.43     992.43
8    5102.43    5322.43     992.43
9    5102.43    5322.43    3341.43
10   5102.43    5322.43   10481.4
11   5102.43    5322.43   10427.4
12   5102.43    5322.43   11327.4
13   5102.43    6367.43   12092.4
14   1362.43   11317.4     3341.43
15    191.43   11317.4      992.43
16   4577.43    6917.43     992.43
17   4577.43    6587.43    1037.43
18   4577.43   11317.4     7292.43
19   4615.24   11211.2     8656.24
20   1660.24   11211.2     8656.24
21    796.24   11211.2     8656.24
22    796.24   11211.2     2806.24
23    967.24   11211.2     1261.24
24    940.24    1531.24    4006.24
25    724.24     166.24    4501.24
26    724.24    5431.24    4501.24
27    859.24    5431.24    4501.24
28    886.24    6706.24    1498.24
