WO = 663055

Sum_WSn = 103.37

Zp = 0

Zn = 65.07

_solve_time = 31912.1

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -1033706441\
62074712 MIP simplex iterations\
32529 branch-and-bound nodes\
absmipgap = 23100.6, relmipgap = 2.23474e-05'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
7    0   0   0   1   0   0   0   0   0   0
8    0   0   0   1   0   0   0   0   0   0
9    0   0   0   1   0   0   0   0   0   0
10   0   0   0   0   0   0   0   0   0   0
11   0   0   0   0   0   0   1   0   0   0
12   0   0   1   0   0   0   1   0   0   0
13   0   0   1   0   0   0   1   0   0   0
14   0   0   1   1   0   0   1   0   0   0
15   0   0   1   1   1   1   0   0   0   0
16   0   0   0   1   1   1   0   0   0   0
17   0   0   0   1   1   1   0   0   0   0
18   0   0   0   0   1   1   0   0   0   0
19   0   0   0   0   0   0   1   0   0   0
20   0   0   0   0   0   0   1   0   0   0
21   0   0   0   0   0   0   1   0   0   0
22   0   0   0   0   0   0   1   0   0   0
23   0   0   0   0   0   0   0   0   0   0
24   0   0   0   0   0   0   0   0   0   0
25   1   0   0   0   0   0   0   0   0   0
26   1   0   0   0   0   0   0   0   0   0
27   1   0   0   0   0   0   0   0   0   0
28   1   0   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   1   0   0   0   0   0   0   0
31   0   0   1   0   0   0   0   0   0   0
32   0   0   1   0   0   1   0   0   0   0
33   1   0   1   0   1   1   0   0   0   0
34   1   0   0   0   1   1   0   0   0   0
35   1   0   0   0   1   1   0   0   0   0
36   1   0   0   1   1   0   0   0   0   0
37   0   0   0   1   0   0   0   0   0   0
38   0   0   0   1   0   0   0   0   0   0
39   0   0   0   1   0   0   0   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   0   1   0   0   0   0   0
42   0   0   0   0   1   0   0   0   0   0
43   0   0   0   0   1   0   0   0   0   0
44   0   0   0   0   1   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:       F1        F2         F3       :=
1     2175.93    759.93       0
2     6453.7    2682.7      918.7
3     6453.7    2682.7      918.7
4     6453.7    2682.7      918.7
5     6453.7    2682.7     1251.7
6     1683.7     267.7     1017.7
7      443.7     223.7      918.7
8     5888.7    4568.7      918.7
9     5888.7    4568.7      918.7
10    7373.7    4568.7      453.7
11   12433.7    4568.7     3117.7
12   12433.7    4568.7     4593.7
13   12433.7    4568.7     4926.7
14   12433.7     223.7     8163.7
15   12433.7      27.7    12195.7
16    6988.7     774.7     9942.7
17    5888.7     774.7     9843.7
18    5888.7     774.7     9378.7
19    5888.7     774.7     5013.7
20    5888.7      81.7     3018.7
21     828.7    1062.7     3018.7
22    2013.7    2205.7     3018.7
23    9438.7    2205.7      120.7
