WO = 681044

Sum_WSn = 162.49

Zp = 0

Zn = 129.48

_solve_time = 14828

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -1624912880\
15218040 MIP simplex iterations\
8964 branch-and-bound nodes\
absmipgap = 9647.7, relmipgap = 5.93737e-06'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
15   0   0   0   0   0   0   0   0   0   1
16   0   0   0   0   0   0   0   0   1   1
17   0   0   0   0   0   0   0   0   1   1
18   0   0   0   0   0   0   0   0   1   1
19   0   0   0   0   0   0   0   0   1   1
20   0   0   0   0   0   0   0   0   1   1
21   0   0   0   0   0   0   0   0   1   1
22   0   0   0   0   0   0   0   0   1   1
23   0   0   0   0   0   0   0   0   1   0
24   0   0   0   0   0   0   0   0   0   0
25   0   0   0   0   0   0   0   0   0   0
26   0   0   0   0   0   1   0   0   0   0
27   0   0   0   0   0   1   0   0   0   0
28   0   0   0   0   0   1   0   0   0   0
29   0   0   0   0   0   1   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   0   0   0   0   0   0   0
32   0   1   0   0   0   0   0   0   0   0
33   0   1   0   0   0   0   0   0   0   0
34   0   1   0   0   0   0   0   0   0   0
35   0   1   0   0   0   0   0   0   0   0
36   0   1   0   0   0   0   0   0   1   1
37   0   1   0   0   0   0   0   0   1   1
38   0   0   0   0   0   0   0   0   1   1
39   0   0   0   0   0   0   0   0   1   1
40   0   0   0   0   0   0   0   0   1   1
41   0   0   0   0   0   0   0   0   1   1
42   0   0   0   0   0   0   0   0   1   1
43   0   0   0   0   0   0   0   0   1   1
44   0   0   0   0   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:       F1        F2         F3       :=
1     1586.05    395.52     329.52
2     5360.98   2972.99    1190.99
3     5360.98   2972.99    1190.99
4     5360.98   2972.99    1190.99
5     5360.98   2972.99    1190.99
6      905.98     32.99       0
7      608.98   1212.99     167.99
8      608.98   4952.99    5667.99
9     3449.98   4952.99    5667.99
10   12264      4952.99    5667.99
11   10716      4952.99    5667.99
12   10986      4952.99    5667.99
13   12264      4952.99    5667.99
14    3449.98   4952.99     552.99
15     953.98   4952.99    8142.99
16    3263.98   1212.99   11828
17    3830.98     11.99   11828
18    8015.98    992.99   11828
19    7860.61    915.31   11750.3
20    5550.61    987.31   11750.3
21    5688.61   2400.31   11750.3
22    4422.61   1419.31   11750.3
23    2577.61    915.31    5975.31
24    2577.61   1707.31    1905.31
25    2874.61   3270.31    1410.31
