WO = 637871

Sum_WSn = 611.41

Zp = 0

Zn = 323.69

_solve_time = 16881.3

solve_message =
'CPLEX 20.1.0.0: optimal integer solution within mipgap or absmipgap; objective -6114132305\
29491236 MIP simplex iterations\
12493 branch-and-bound nodes\
absmipgap = 6.43498, relmipgap = 1.05248e-09'

s [*,*,F1]
:   K1 K10  K2  K3  K4  K5  K6  K7  K8  K9    :=
16   0   0   0   0   0   0   0   1   0   0
17   0   0   0   0   0   0   0   1   0   0
18   0   0   0   0   0   0   0   1   0   0
19   0   0   0   0   0   0   0   1   1   0
20   0   0   0   0   0   0   0   1   1   0
21   0   0   0   0   0   0   0   1   1   0
22   0   0   0   0   0   0   0   1   1   0
23   0   1   0   0   0   0   0   0   1   0
24   0   1   0   0   0   0   0   0   1   0
25   0   1   0   0   0   0   0   0   1   0
26   0   1   0   0   0   0   0   0   1   0
27   0   1   0   0   0   0   0   0   0   0
28   0   1   0   0   0   0   0   0   0   0
29   0   0   0   0   0   0   0   0   0   0
30   0   0   0   0   0   0   0   0   0   0
31   0   0   0   1   1   0   0   0   0   0
32   0   0   0   1   1   0   0   0   0   0
33   0   0   0   1   1   0   0   0   0   0
34   0   0   0   1   1   0   0   0   0   0
35   0   0   0   0   0   0   0   0   0   0
36   0   0   0   0   0   0   1   0   0   0
37   0   0   0   0   0   0   1   0   0   0
38   0   0   0   0   0   0   1   0   0   0
39   0   0   0   0   0   0   1   0   0   0
40   0   0   0   0   0   0   0   0   0   0
41   0   0   0   1   0   0   0   0   0   0
42   0   0   0   1   0   0   0   0   0   0
43   0   0   0   1   0   0   0   0   0   0
44   0   0   0   1   0   0   0   0   0   0
45   0   0   0   0   0   0   0   0   0   0
;

WSp [*,*]
:      F1        F2         F3       :=
1    1197.62    171.31       0
2    3755.48   1180.24    1180.24
3    3755.48   1180.24    5525.24
4    3755.48   1180.24   11025.2
5    4238.48   1252.24   11410.2
6    2972.48    685.24   17185.2
7    1127.48    190.24   17185.2
8    1127.48    190.24   17185.2
9    1127.48    685.24   17185.2
10     53.48   1252.24   11685.2
11   5861.48   1180.24    7340.24
12   6941.48   1180.24    4865.24
13   6941.48   1252.24    4865.24
14   6941.48    685.24     685.24
15   1646.48    190.24    4865.24
16   1640.48    190.24    4865.24
17   1127.48    685.24    4865.24
18   2972.48   1252.24    7340.24
19   8911.1    1899.55   11744.6
20   5992.1    1899.55   11744.6
21   6787.1    1899.55   11744.6
22   6787.1     423.55   12404.6
23   2287.1     909.55   13339.6
